Ano,Mês,SG_UF_NOT,Quantidade de Casos
2013,12,11,48
2013,12,12,37
2013,12,13,56
2013,12,14,12
2013,12,15,34
2013,12,16,3
2013,12,17,80
2013,12,22,3
2013,12,23,66
2013,12,24,32
2013,12,25,20
2013,12,26,52
2013,12,27,41
2013,12,28,5
2013,12,29,37
2013,12,31,269
2013,12,32,151
2013,12,33,80
2013,12,35,317
2013,12,41,246
2013,12,42,4
2013,12,43,7
2013,12,50,74
2013,12,51,93
2013,12,52,359
2013,12,53,28
2014,1,11,479
2014,1,12,521
2014,1,13,1537
2014,1,14,169
2014,1,15,1085
2014,1,16,34
2014,1,17,1655
2014,1,21,138
2014,1,22,349
2014,1,23,2097
2014,1,24,562
2014,1,25,535
2014,1,26,829
2014,1,27,860
2014,1,28,110
2014,1,29,1429
2014,1,31,8223
2014,1,32,3634
2014,1,33,2681
2014,1,35,8622
2014,1,41,4316
2014,1,42,70
2014,1,43,139
2014,1,50,1149
2014,1,51,1572
2014,1,52,10592
2014,1,53,1110
2014,2,11,704
2014,2,12,662
2014,2,13,1490
2014,2,14,129
2014,2,15,1301
2014,2,16,46
2014,2,17,1590
2014,2,21,326
2014,2,22,431
2014,2,23,3071
2014,2,24,1107
2014,2,25,601
2014,2,26,1101
2014,2,27,820
2014,2,28,146
2014,2,29,1795
2014,2,31,13104
2014,2,32,3156
2014,2,33,1932
2014,2,35,19518
2014,2,41,6029
2014,2,42,62
2014,2,43,152
2014,2,50,1479
2014,2,51,1845
2014,2,52,15487
2014,2,53,2158
2014,3,11,783
2014,3,12,1129
2014,3,13,1666
2014,3,14,129
2014,3,15,1283
2014,3,16,66
2014,3,17,1458
2014,3,21,473
2014,3,22,469
2014,3,23,3015
2014,3,24,1102
2014,3,25,716
2014,3,26,1508
2014,3,27,1067
2014,3,28,232
2014,3,29,2465
2014,3,31,16136
2014,3,32,2959
2014,3,33,1663
2014,3,35,46080
2014,3,41,9555
2014,3,42,57
2014,3,43,109
2014,3,50,1268
2014,3,51,1929
2014,3,52,16922
2014,3,53,2148
2014,4,11,691
2014,4,12,988
2014,4,13,1761
2014,4,14,116
2014,4,15,1237
2014,4,16,279
2014,4,17,1199
