COD_UF,Ano,Densidade demográfica (pessoas por km²) (Pessoas por km²) (IBGE),"Despesas per capita das famílias com saneamento, em R$ a preços de 2024 (deflator IPCA, item água e esgoto) (R$ per capita a preços de 2024) (SINISA)",Internações por doenças associadas à falta de saneamento (Número de internações) (DATASUS),Número de pessoas por moradia (pessoas por moradia) (IBGE),Número de pessoas por moradia (área urbana) (pessoas por moradia) (IBGE),Parcela da população total que mora em domicílios sem acesso ao serviço de coleta de esgoto (% da população) (SINISA),Parcela da população total que mora em domicílios sem acesso à água tratada (% da população) (SINISA),População total (pessoas) (IBGE),População urbana total (pessoas) (SINISA),Taxa de incidência de internações por doenças associadas à falta de saneamento (Internações por 10 mil habitantes) (DATASUS)
AC,2014,4.81,141.07,3459.0,3.65,3.49,8.8,55.4,790101.0,572554.0,43.779
AC,2015,0.49,136.53,2167.0,0.36,3.44,87.5,5.3,803513.0,582101.0,26.969
AC,2016,4.98,12.75,1938.0,3.54,3.39,87.8,5.2,816687.0,591481.0,2.373
AC,2017,5.05,112.91,1320.0,3.49,3.34,89.3,50.9,829619.0,600692.0,15.911
AC,2018,0.53,122.85,1367.0,3.54,3.39,89.9,52.9,869265.0,629627.0,15.726
AC,2019,5.37,11.51,1362.0,0.33,3.21,0.9,5.2,881935.0,638685.0,15.443
AC,2020,5.45,107.54,1041.0,3.36,3.29,88.6,52.8,894470.0,647646.0,11.638
AC,2021,5.53,116.99,1274.0,0.34,4.33,88.1,49.8,906876.0,656513.0,14.048
AC,2022,5.06,106.79,1039.0,3.18,,0.1,5.2,830018.0,,12.518
AC,2023,0.36,61.67,1340.0,2.97,2.65,91.2,50.3,854943.0,602647.0,15.674
AL,2014,119.28,193.66,7149.0,3.39,3.13,77.7,22.1,3321730.0,2316270.0,21.522
AL,2015,119.97,217.16,6049.0,3.29,3.03,79.1,23.6,3340932.0,2329017.0,18.106
AL,2016,120.62,243.61,5277.0,3.19,2.89,8.1,23.3,3358963.0,2297767.0,1.571
AL,2017,121.22,217.97,5214.0,0.31,2.88,83.2,25.6,3375823.0,2376534.0,15.445
AL,2018,119.32,241.53,3398.0,2.94,2.76,78.7,25.4,3322820.0,2360787.0,10.226
AL,2019,119.84,258.88,4923.0,2.96,0.28,78.3,24.6,3337357.0,2472387.0,14.751
AL,2020,120.35,262.72,2313.0,3.24,0.04,77.1,23.7,3351543.0,2429712.0,6.901
AL,2021,120.85,303.94,1903.0,0.32,3.97,82.1,25.9,3365351.0,2454856.0,5.655
AL,2022,112.31,39.61,1797.0,0.03,,0.1,23.4,3127683.0,,5.745
AL,2023,32.36,268.99,1133.0,2.73,2.56,7.9,28.6,3173527.0,2350780.0,0.357
AM,2014,2.48,209.39,5485.0,4.06,3.18,9.3,26.1,3873743.0,2540454.0,14.159
AM,2015,2.53,210.34,5473.0,3.95,3.07,92.3,23.7,3938336.0,2567345.0,13.897
AM,2016,2.57,187.81,5175.0,3.84,3.02,92.7,21.8,4001667.0,2647223.0,12.932
AM,2017,2.61,182.73,4365.0,3.74,2.93,90.6,20.3,4063614.0,2695115.0,10.742
AM,2018,2.62,162.08,3991.0,3.59,2.58,0.9,18.9,4080611.0,2485768.0,0.978
AM,2019,2.66,192.35,4519.0,3.77,3.52,85.1,12.4,4144597.0,3285860.0,10.903
AM,2020,0.27,203.17,3734.0,3.85,3.42,86.2,17.7,4207714.0,3112859.0,8.874
AM,2021,2.74,208.87,5401.0,3.79,4.16,85.4,16.5,4269995.0,3247689.0,12.649
AM,2022,2.53,236.84,5670.0,3.65,,0.1,20.4,3941613.0,,14.385
