periodo,y,estado
2014-01,521,AC
2014-01,860,AL
2014-01,1537,AM
2014-01,34,AP
2014-01,1429,BA
2014-01,2097,CE
2014-01,1110,DF
2014-01,3634,ES
2014-01,10592,GO
2014-01,138,MA
2014-01,8223,MG
2014-01,1149,MS
2014-01,1572,MT
2014-01,1085,PA
2014-01,535,PB
2014-01,829,PE
2014-01,349,PI
2014-01,4316,PR
2014-01,2681,RJ
2014-01,562,RN
2014-01,479,RO
2014-01,169,RR
2014-01,139,RS
2014-01,70,SC
2014-01,110,SE
2014-01,8622,SP
2014-01,1655,TO
2014-02,662,AC
2014-02,820,AL
2014-02,1490,AM
2014-02,46,AP
2014-02,1795,BA
2014-02,3071,CE
2014-02,2158,DF
2014-02,3156,ES
2014-02,15487,GO
2014-02,326,MA
2014-02,13104,MG
2014-02,1479,MS
2014-02,1845,MT
2014-02,1301,PA
2014-02,601,PB
2014-02,1101,PE
2014-02,431,PI
2014-02,6029,PR
2014-02,1932,RJ
2014-02,1107,RN
2014-02,704,RO
2014-02,129,RR
2014-02,152,RS
2014-02,62,SC
2014-02,146,SE
2014-02,19518,SP
2014-02,1590,TO
2014-03,1129,AC
2014-03,1067,AL
2014-03,1666,AM
2014-03,66,AP
2014-03,2465,BA
2014-03,3015,CE
2014-03,2148,DF
2014-03,2959,ES
2014-03,16922,GO
2014-03,473,MA
2014-03,16136,MG
2014-03,1268,MS
2014-03,1929,MT
2014-03,1283,PA
2014-03,716,PB
2014-03,1508,PE
2014-03,469,PI
2014-03,9555,PR
2014-03,1663,RJ
2014-03,1102,RN
2014-03,783,RO
2014-03,129,RR
2014-03,109,RS
2014-03,57,SC
2014-03,232,SE
2014-03,46080,SP
2014-03,1458,TO
2014-04,988,AC
2014-04,1325,AL
2014-04,1761,AM
2014-04,279,AP
2014-04,4646,BA
2014-04,4615,CE
2014-04,3969,DF
2014-04,3351,ES
2014-04,22240,GO
2014-04,560,MA
2014-04,21860,MG
2014-04,1358,MS
2014-04,1860,MT
2014-04,1237,PA
2014-04,1034,PB
2014-04,2627,PE
2014-04,1200,PI
2014-04,12450,PR
2014-04,1553,RJ
2014-04,1739,RN
2014-04,691,RO
2014-04,116,RR
2014-04,81,RS
2014-04,105,SC
2014-04,433,SE
2014-04,125274,SP
2014-04,1199,TO
2014-05,1065,AC
2014-05,2211,AL
2014-05,1039,AM
2014-05,572,AP
2014-05,4246,BA
2014-05,6363,CE
2014-05,4693,DF
2014-05,3276,ES
2014-05,21573,GO
2014-05,542,MA
2014-05,15183,MG
2014-05,1025,MS
2014-05,1145,MT
2014-05,1117,PA
2014-05,1397,PB
2014-05,3557,PE
2014-05,2372,PI
2014-05,9749,PR
2014-05,1571,RJ
2014-05,2817,RN
2014-05,480,RO
2014-05,150,RR
2014-05,73,RS
2014-05,86,SC
2014-05,908,SE
2014-05,97607,SP
2014-05,1211,TO
2014-06,894,AC
2014-06,2490,AL
2014-06,676,AM
2014-06,240,AP
2014-06,2618,BA
2014-06,6145,CE
2014-06,2786,DF
2014-06,2537,ES
2014-06,11686,GO
2014-06,295,MA
2014-06,7101,MG
2014-06,602,MS
2014-06,667,MT
2014-06,665,PA
2014-06,1012,PB
2014-06,2757,PE
2014-06,1840,PI
2014-06,3923,PR
2014-06,1227,RJ
2014-06,1690,RN
2014-06,327,RO
2014-06,197,RR
2014-06,33,RS
2014-06,37,SC
2014-06,626,SE
2014-06,32198,SP
2014-06,852,TO
2014-07,1030,AC
2014-07,2388,AL
2014-07,546,AM
2014-07,126,AP
2014-07,1903,BA
2014-07,5797,CE
2014-07,1779,DF
2014-07,1864,ES
2014-07,5174,GO
2014-07,291,MA
2014-07,2620,MG
2014-07,438,MS
2014-07,434,MT
2014-07,462,PA
2014-07,753,PB
2014-07,1943,PE
2014-07,1540,PI
2014-07,2459,PR
2014-07,943,RJ
2014-07,1439,RN
2014-07,195,RO
2014-07,209,RR
2014-07,26,RS
2014-07,43,SC
2014-07,548,SE
2014-07,13398,SP
2014-07,400,TO
2014-08,2139,AC
2014-08,1755,AL
2014-08,543,AM
2014-08,72,AP
2014-08,1440,BA
2014-08,3529,CE
2014-08,513,DF
2014-08,1224,ES
2014-08,3368,GO
2014-08,279,MA
2014-08,1565,MG
2014-08,349,MS
2014-08,363,MT
2014-08,424,PA
2014-08,428,PB
2014-08,1051,PE
2014-08,622,PI
2014-08,1770,PR
2014-08,959,RJ
2014-08,933,RN
2014-08,168,RO
2014-08,246,RR
2014-08,31,RS
2014-08,51,SC
2014-08,283,SE
2014-08,7728,SP
2014-08,356,TO
2014-09,7979,AC
2014-09,1265,AL
2014-09,470,AM
2014-09,175,AP
2014-09,1252,BA
2014-09,2409,CE
2014-09,244,DF
2014-09,1143,ES
2014-09,2683,GO
2014-09,198,MA
2014-09,1675,MG
2014-09,299,MS
2014-09,429,MT
2014-09,488,PA
2014-09,339,PB
2014-09,987,PE
2014-09,404,PI
2014-09,1479,PR
2014-09,830,RJ
2014-09,648,RN
2014-09,122,RO
